Ticker,close,date,high,low,month,open,volume,sector
TATAMOTORS,1046.65,2024-05-10 05:30:00,1050.35,1030.4,2024-05,1037.0,13383183,AUTOMOBILES
TATAMOTORS,959.75,2024-05-13 05:30:00,1008.7,947.2,2024-05,1005.0,58974762,AUTOMOBILES
TATAMOTORS,964.65,2024-05-14 05:30:00,968.0,953.25,2024-05,965.1,16325689,AUTOMOBILES
TATAMOTORS,947.3,2024-05-15 05:30:00,972.95,945.1,2024-05,970.95,19668239,AUTOMOBILES
TATAMOTORS,936.4,2024-05-16 05:30:00,954.4,919.0,2024-05,953.2,31240770,AUTOMOBILES
TATAMOTORS,945.7,2024-05-17 05:30:00,953.4,941.0,2024-05,944.0,13205512,AUTOMOBILES
TATAMOTORS,953.95,2024-05-18 05:30:00,958.0,947.0,2024-05,950.0,1930324,AUTOMOBILES
TATAMOTORS,951.3,2024-05-21 05:30:00,956.65,948.7,2024-05,954.0,10055258,AUTOMOBILES
TATAMOTORS,947.5,2024-05-22 05:30:00,954.9,942.55,2024-05,952.0,9495279,AUTOMOBILES
TATAMOTORS,962.35,2024-05-23 05:30:00,963.45,945.05,2024-05,950.0,11211074,AUTOMOBILES
TATAMOTORS,960.55,2024-05-24 05:30:00,970.95,958.0,2024-05,962.5,9590588,AUTOMOBILES
TATAMOTORS,958.5,2024-05-27 05:30:00,966.45,952.0,2024-05,964.9,6916555,AUTOMOBILES
TATAMOTORS,947.55,2024-05-28 05:30:00,961.9,946.0,2024-05,959.0,6618946,AUTOMOBILES
TATAMOTORS,943.6,2024-05-29 05:30:00,950.5,938.8,2024-05,946.95,8184019,AUTOMOBILES
TATAMOTORS,923.95,2024-05-30 05:30:00,951.45,921.0,2024-05,943.5,10170912,AUTOMOBILES
TATAMOTORS,923.0,2024-05-31 05:30:00,937.25,920.1,2024-05,931.65,14289102,AUTOMOBILES
TATAMOTORS,950.45,2024-06-03 05:30:00,963.0,934.0,2024-06,963.0,12314329,AUTOMOBILES
TATAMOTORS,903.9,2024-06-04 05:30:00,948.0,855.4,2024-06,948.0,26554598,AUTOMOBILES
TATAMOTORS,929.95,2024-06-05 05:30:00,933.75,890.0,2024-06,924.95,13752553,AUTOMOBILES
TATAMOTORS,938.25,2024-06-06 05:30:00,946.0,931.2,2024-06,940.0,11792640,AUTOMOBILES
TATAMOTORS,970.5,2024-06-07 05:30:00,973.0,935.25,2024-06,940.0,15577866,AUTOMOBILES
TATAMOTORS,975.15,2024-06-10 05:30:00,984.9,969.1,2024-06,977.0,9258931,AUTOMOBILES
TATAMOTORS,987.1,2024-06-11 05:30:00,992.55,966.65,2024-06,973.8,14828702,AUTOMOBILES
TATAMOTORS,988.7,2024-06-12 05:30:00,1010.25,987.0,2024-06,994.5,17527993,AUTOMOBILES
TATAMOTORS,985.85,2024-06-13 05:30:00,1002.0,980.75,2024-06,1002.0,12157226,AUTOMOBILES
TATAMOTORS,993.4,2024-06-14 05:30:00,997.25,981.4,2024-06,990.0,11591421,AUTOMOBILES
TATAMOTORS,985.9,2024-06-18 05:30:00,1003.55,984.0,2024-06,1000.0,9845075,AUTOMOBILES
TATAMOTORS,977.35,2024-06-19 05:30:00,994.9,975.15,2024-06,990.0,7605719,AUTOMOBILES
TATAMOTORS,978.25,2024-06-20 05:30:00,988.4,976.35,2024-06,980.0,7299571,AUTOMOBILES
TATAMOTORS,961.8,2024-06-21 05:30:00,980.9,958.1,2024-06,979.0,14303735,AUTOMOBILES
TATAMOTORS,958.05,2024-06-24 05:30:00,963.5,950.05,2024-06,960.9,6655577,AUTOMOBILES
TATAMOTORS,955.0,2024-06-25 05:30:00,962.85,949.3,2024-06,960.0,7304128,AUTOMOBILES
TATAMOTORS,951.85,2024-06-26 05:30:00,962.5,950.1,2024-06,956.0,6908988,AUTOMOBILES
TATAMOTORS,972.1,2024-06-27 05:30:00,974.85,948.05,2024-06,952.5,19385412,AUTOMOBILES
TATAMOTORS,989.75,2024-06-28 05:30:00,998.5,972.55,2024-06,975.0,23025267,AUTOMOBILES
TATAMOTORS,1002.05,2024-07-01 05:30:00,1005.5,985.2,2024-07,989.75,14006105,AUTOMOBILES
TATAMOTORS,981.3,2024-07-02 05:30:00,1005.0,979.1,2024-07,1004.05,12284132,AUTOMOBILES
TATAMOTORS,975.65,2024-07-03 05:30:00,987.35,973.5,2024-07,984.95,7346258,AUTOMOBILES
TATAMOTORS,998.2,2024-07-04 05:30:00,1004.0,979.6,2024-07,984.0,12139832,AUTOMOBILES
TATAMOTORS,993.65,2024-07-05 05:30:00,1006.6,989.95,2024-07,1005.0,9050375,AUTOMOBILES
TATAMOTORS,1002.6,2024-07-08 05:30:00,1016.6,996.2,2024-07,1005.0,13312085,AUTOMOBILES
TATAMOTORS,1014.95,2024-07-09 05:30:00,1017.0,998.1,2024-07,1000.95,10948094,AUTOMOBILES
TATAMOTORS,1005.5,2024-07-10 05:30:00,1019.85,986.05,2024-07,1015.0,13412206,AUTOMOBILES
TATAMOTORS,1020.8,2024-07-11 05:30:00,1025.5,1007.05,2024-07,1008.0,11983571,AUTOMOBILES
TATAMOTORS,1016.75,2024-07-12 05:30:00,1025.9,1015.0,2024-07,1023.85,7339644,AUTOMOBILES
TATAMOTORS,1024.45,2024-07-15 05:30:00,1029.8,1017.3,2024-07,1021.35,5847333,AUTOMOBILES
TATAMOTORS,1021.15,2024-07-16 05:30:00,1029.6,1019.2,2024-07,1025.5,4824555,AUTOMOBILES
TATAMOTORS,1024.55,2024-07-18 05:30:00,1027.0,1008.0,2024-07,1022.95,8010324,AUTOMOBILES
TATAMOTORS,990.0,2024-07-19 05:30:00,1024.0,986.65,2024-07,1024.0,7400178,AUTOMOBILES
TATAMOTORS,1003.15,2024-07-22 05:30:00,1008.0,976.55,2024-07,990.0,7396198,AUTOMOBILES
TATAMOTORS,1001.8,2024-07-23 05:30:00,1008.65,967.2,2024-07,1007.9,10384177,AUTOMOBILES
TATAMOTORS,1027.7,2024-07-24 05:30:00,1034.25,995.15,2024-07,997.8,11469098,AUTOMOBILES
TATAMOTORS,1090.95,2024-07-25 05:30:00,1094.0,1024.35,2024-07,1029.0,32766835,AUTOMOBILES
TATAMOTORS,1118.3,2024-07-26 05:30:00,1120.5,1083.6,2024-07,1111.95,21232845,AUTOMOBILES
TATAMOTORS,1124.0,2024-07-29 05:30:00,1139.9,1118.6,2024-07,1124.0,11850624,AUTOMOBILES
TATAMOTORS,1161.85,2024-07-30 05:30:00,1179.0,1118.6,2024-07,1125.8,28592304,AUTOMOBILES
TATAMOTORS,1156.65,2024-07-31 05:30:00,1167.9,1145.3,2024-07,1164.0,10860623,AUTOMOBILES
TATAMOTORS,1144.4,2024-08-01 05:30:00,1176.0,1136.5,2024-08,1167.0,14375948,AUTOMOBILES
TATAMOTORS,1096.65,2024-08-02 05:30:00,1120.0,1090.05,2024-08,1120.0,21967812,AUTOMOBILES
TATAMOTORS,1016.45,2024-08-05 05:30:00,1065.0,1014.05,2024-08,1059.95,26651144,AUTOMOBILES
TATAMOTORS,1013.75,2024-08-06 05:30:00,1060.65,1008.4,2024-08,1030.0,16726393,AUTOMOBILES
TATAMOTORS,1025.3,2024-08-07 05:30:00,1040.2,1015.05,2024-08,1036.05,9978703,AUTOMOBILES
TATAMOTORS,1041.75,2024-08-08 05:30:00,1056.4,1027.0,2024-08,1034.95,19529790,AUTOMOBILES
TATAMOTORS,1068.1,2024-08-09 05:30:00,1082.95,1052.05,2024-08,1055.0,15443008,AUTOMOBILES
TATAMOTORS,1076.15,2024-08-12 05:30:00,1079.9,1055.0,2024-08,1065.0,11311050,AUTOMOBILES
TATAMOTORS,1053.45,2024-08-13 05:30:00,1075.5,1048.2,2024-08,1074.85,7508231,AUTOMOBILES
TATAMOTORS,1062.35,2024-08-14 05:30:00,1067.05,1047.0,2024-08,1057.0,8211830,AUTOMOBILES
TATAMOTORS,1098.35,2024-08-16 05:30:00,1099.95,1070.0,2024-08,1072.0,11435650,AUTOMOBILES
TATAMOTORS,1087.7,2024-08-19 05:30:00,1107.0,1085.0,2024-08,1105.9,6911441,AUTOMOBILES
TATAMOTORS,1086.9,2024-08-20 05:30:00,1098.05,1082.05,2024-08,1097.0,5625723,AUTOMOBILES
TATAMOTORS,1085.2,2024-08-21 05:30:00,1095.3,1083.3,2024-08,1089.0,4869876,AUTOMOBILES
TATAMOTORS,1068.45,2024-08-22 05:30:00,1094.75,1064.95,2024-08,1090.0,9377476,AUTOMOBILES
TATAMOTORS,1085.15,2024-08-23 05:30:00,1092.6,1071.0,2024-08,1073.0,10179655,AUTOMOBILES
TATAMOTORS,1092.4,2024-08-26 05:30:00,1103.35,1082.85,2024-08,1089.0,9415039,AUTOMOBILES
TATAMOTORS,1077.25,2024-08-27 05:30:00,1096.65,1075.0,2024-08,1093.05,8813305,AUTOMOBILES
TATAMOTORS,1074.55,2024-08-28 05:30:00,1088.7,1070.1,2024-08,1082.95,8145376,AUTOMOBILES
